# time(ms),voltage(mV),na_current(nA
8.630999999999056982e+00,-6.572404353114195885e+01,-9.397485019825042992e-04
8.631999999999058204e+00,-6.572406502307147491e+01,-9.397343128272787416e-04
8.632999999999059426e+00,-6.572408635810974431e+01,-9.397201820884336409e-04
8.633999999999060648e+00,-6.572410753633646152e+01,-9.397061097358025894e-04
8.634999999999061870e+00,-6.572412855783132102e+01,-9.396920957392344669e-04
8.635999999999063093e+00,-6.572414942267398885e+01,-9.396781400685883445e-04
8.636999999999064315e+00,-6.572417013094413107e+01,-9.396642426937369544e-04
8.637999999999065537e+00,-6.572419068272138531e+01,-9.396504035845658223e-04
8.638999999999066759e+00,-6.572421107808538920e+01,-9.396366227109730507e-04
8.639999999999067981e+00,-6.572423131711575195e+01,-9.396229000428682346e-04
8.640999999999069203e+00,-6.572425139989208276e+01,-9.396092355501745215e-04
8.641999999999070425e+00,-6.572427132649396242e+01,-9.395956292028277441e-04
8.642999999999071647e+00,-6.572429109700095751e+01,-9.395820809707751192e-04
8.643999999999072870e+00,-6.572431071149263460e+01,-9.395685908239777414e-04
8.644999999999074092e+00,-6.572433017004853184e+01,-9.395551587324086316e-04
8.645999999999075314e+00,-6.572434947274817318e+01,-9.395417846660530621e-04
8.646999999999076536e+00,-6.572436861967106836e+01,-9.395284685949089904e-04
8.647999999999077758e+00,-6.572438761089671289e+01,-9.395152104889871675e-04
8.648999999999078980e+00,-6.572440644650458808e+01,-9.395020103183104876e-04
8.649999999999080202e+00,-6.572442512657414682e+01,-9.394888680529145299e-04
8.650999999999081425e+00,-6.572444365118485621e+01,-9.394757836628472338e-04
8.651999999999082647e+00,-6.572446202041615493e+01,-9.394627571181692234e-04
8.652999999999083869e+00,-6.572448023434745323e+01,-9.394497883889535916e-04
8.653999999999085091e+00,-6.572449829305816138e+01,-9.394368774452853572e-04
8.654999999999086313e+00,-6.572451619662767541e+01,-9.394240242572629834e-04
8.655999999999087535e+00,-6.572453394513537717e+01,-9.394112287949964255e-04
8.656999999999088757e+00,-6.572455153866062005e+01,-9.393984910286088666e-04
8.657999999999089979e+00,-6.572456897728274328e+01,-9.393858109282350903e-04
8.658999999999091202e+00,-6.572458626108108604e+01,-9.393731884640227825e-04
8.659999999999092424e+00,-6.572460339013495911e+01,-9.393606236061329646e-04
8.660999999999093646e+00,-6.572462036452367329e+01,-9.393481163247364161e-04
8.661999999999094868e+00,-6.572463718432649671e+01,-9.393356665900198538e-04
8.662999999999096090e+00,-6.572465384962271173e+01,-9.393232743721798613e-04
8.663999999999097312e+00,-6.572467036049157230e+01,-9.393109396414257069e-04
8.664999999999098534e+00,-6.572468671701231813e+01,-9.392986623679806454e-04
8.665999999999099757e+00,-6.572470291926417474e+01,-9.392864425220784482e-04
8.666999999999100979e+00,-6.572471896732635344e+01,-9.392742800739658973e-04
8.667999999999102201e+00,-6.572473486127805131e+01,-9.392621749939028932e-04
8.668999999999103423e+00,-6.572475060119845125e+01,-9.392501272521609377e-04
8.669999999999104645e+00,-6.572476618716670771e+01,-9.392381368190242177e-04
8.670999999999105867e+00,-6.572478161926197515e+01,-9.392262036647888463e-04
8.671999999999107089e+00,-6.572479689756339383e+01,-9.392143277597639469e-04
8.672999999999108311e+00,-6.572481202215007556e+01,-9.392025090742702441e-04
8.673999999999109534e+00,-6.572482699310111798e+01,-9.391907475786417979e-04
8.674999999999110756e+00,-6.572484181049561869e+01,-9.391790432432235106e-04
8.675999999999111978e+00,-6.572485647441264689e+01,-9.391673960383742706e-04
8.676999999999113200e+00,-6.572487098493125757e+01,-9.391558059344645671e-04
8.677999999999114422e+00,-6.572488534213050571e+01,-9.391442729018768159e-04
8.678999999999115644e+00,-6.572489954608940366e+01,-9.391327969110056838e-04
8.679999999999116866e+00,-6.572491359688696377e+01,-9.391213779322593906e-04
8.680999999999118089e+00,-6.572492749460219841e+01,-9.391100159360569978e-04
8.681999999999119311e+00,-6.572494123931407728e+01,-9.390987108928307943e-04
8.682999999999120533e+00,-6.572495483110157011e+01,-9.390874627730254288e-04
8.683999999999121755e+00,-6.572496827004361819e+01,-9.390762715470966091e-04
8.684999999999122977e+00,-6.572498155621916283e+01,-9.390651371855134868e-04
8.685999999999124199e+00,-6.572499468970713110e+01,-9.390540596587573568e-04
